scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d
2026-08-06,2404.TW,漢唐,1170.0,廣義上升三法、周1K,買,77,A強勢追蹤,2.89,>MA5,糾結,1761.7,tracking,1.0,,,,0.85,-2.14,0.85,-2.14,0.0
2026-08-06,6426.TW,統新,187.0,漲停、漲幅達標,買,55,C觀察,8.59,>MA5,糾結,1260.0,tracking,1.0,,,,9.89,1.34,9.89,1.34,0.0
2026-08-06,3213.TWO,茂訊,138.5,單跳空、周1K,買,78,A強勢追蹤,4.69,>MA5,多頭,2640.1,tracking,1.0,,,,1.44,-3.97,1.44,-3.97,0.0
2026-08-06,3323.TWO,加百裕,30.15,廣義上升三法、單跳空,買,61,C觀察,0.33,>MA5,糾結,1118.8,tracking,1.0,,,,2.82,-0.5,2.82,-0.5,0.0
2026-08-06,3685.TWO,元創精密,38.1,3K反轉、廣義上升三法、KD高腳、漲停、漲幅達標,買,93,A強勢追蹤,7.3,>MA5,空頭,2179.2,tracking,1.0,,,,6.82,0.26,6.82,0.26,0.0
2026-08-06,3689.TWO,湧德,110.5,雙跳空、單跳空,買,56,C觀察,1.55,>MA5,糾結,2501.9,tracking,1.0,,,,1.36,-2.71,1.36,-2.71,0.0
2026-08-06,5309.TWO,系統電,53.2,廣義上升三法、單跳空,買,60,C觀察,1.1,>MA5,糾結,3422.2,tracking,1.0,,,,0.75,-2.82,0.75,-2.82,0.0
2026-08-06,2009.TW,第一銅,39.15,雙跳空、單跳空,買,71,B可追蹤,3.67,>MA5,糾結,6151.4,tracking,1.0,,,,4.73,0.26,4.73,0.26,0.0
2026-08-06,2368.TW,金像電,985.0,單跳空,買,59,C觀察,7.39,>MA5,糾結,12825.1,tracking,1.0,,,,3.05,-4.47,3.05,-4.47,0.0
2026-08-06,2535.TW,達欣工,93.0,3K反轉、布林縮窄突破、廣義上升三法、單跳空、周1K,買,100,A強勢追蹤,2.58,>MA5,糾結,1173.2,tracking,1.0,,,,0.43,-3.33,0.43,-3.33,0.0
2026-08-06,3305.TW,昇貿,114.5,廣義上升三法、單跳空,買,68,B可追蹤,4.28,>MA5,糾結,1413.4,tracking,1.0,,,,0.87,-2.62,0.87,-2.62,0.0
2026-08-06,4960.TW,誠美材,20.95,廣義上升三法、單跳空,買,56,C觀察,1.57,>MA5,糾結,1409.4,tracking,1.0,,,,1.91,-2.86,1.91,-2.86,0.0
2026-08-06,6112.TW,邁達特,45.25,雙跳空、廣義上升三法、單跳空、周1K,買,98,A強勢追蹤,4.72,>MA5,糾結,2982.1,tracking,1.0,,,,1.66,-1.22,1.66,-1.22,0.0
2026-08-06,6209.TW,今國光,76.7,廣義上升三法、周1K,買,84,A強勢追蹤,6.82,>MA5,糾結,7648.5,tracking,1.0,,,,1.56,-3.13,1.56,-3.13,0.0
2026-08-06,6781.TW,AES-KY,1090.0,廣義上升三法、單跳空,買,76,A強勢追蹤,6.31,>MA5,糾結,1044.4,tracking,1.0,,,,9.17,2.29,9.17,2.29,0.0
2026-08-06,6789.TW,采鈺,456.5,廣義上升三法、單跳空,買,63,C觀察,2.2,>MA5,糾結,1078.3,tracking,1.0,,,,-0.77,-9.53,-0.77,-9.53,0.0
2026-08-06,9921.TW,巨大,90.2,KD高腳、周1K,買,81,A強勢追蹤,5.69,>MA5,糾結,3337.7,tracking,1.0,,,,3.33,-0.22,3.33,-0.22,0.0
