scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status,source_file,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d,return_1d%,return_20d%,max_gain_20d%,max_drawdown_20d%,訊號方向,成交量(張)
2026-07-28,2646.TW,星宇航空,21.8,黃金交叉、MACD翻正,77.0,A強勢追蹤,0.49,>MA5,糾結,51.9,48.2,61.5,56.0,0.0123,-,-,tracking,signal_tracking_20260730.csv,7.0,-0.69,-2.98,,0.92,-3.9,0.92,-3.9,0.0,-1.38,,0.92,-3.9,,
2026-07-28,3022.TW,威強電,89.2,週即將黃金交叉,57.0,C觀察,2.0,MA5~10,糾結,71.3,63.7,74.5,77.4,0.2306,-,-,tracking,signal_tracking_20260730.csv,7.0,-4.71,1.91,,3.7,-8.07,13.23,-8.07,0.0,-1.35,,13.23,-8.07,,
2026-07-28,3231.TW,緯創,170.0,週黃金交叉,66.0,B可追蹤,4.42,MA5~10,多頭,75.8,69.0,43.5,43.5,3.4463,-,-,tracking,signal_tracking_20260730.csv,7.0,3.53,14.71,,16.47,-7.35,19.12,-7.35,0.0,-0.29,,19.12,-7.35,,
2026-07-28,3363.TWO,上詮,598.0,週黃金交叉,86.0,A強勢追蹤,5.48,>MA5,糾結,65.5,54.8,22.0,21.0,10.3492,-,-,tracking,signal_tracking_20260730.csv,7.0,-19.65,-5.85,,-5.35,-26.92,4.52,-26.92,0.0,-18.81,,4.52,-26.92,,
2026-07-28,3441.TWO,聯一光,77.2,漲幅達標、MACD翻正,62.0,C觀察,4.11,>MA5,糾結,63.1,39.7,55.4,63.9,0.0032,-,-,tracking,signal_tracking_20260730.csv,7.0,8.81,16.06,,24.09,-2.85,24.09,-2.85,1.0,9.84,,24.09,-2.85,,
2026-07-28,4904.TW,遠傳,106.0,週黃金交叉,68.0,B可追蹤,1.1,>MA5,多頭,83.7,75.2,58.0,56.4,0.8479,-,-,tracking,signal_tracking_20260730.csv,7.0,-0.94,-4.72,,2.36,-5.75,2.36,-5.75,0.0,0.47,,2.36,-5.75,,
2026-07-28,4979.TWO,華星光,427.0,週即將黃金交叉,58.0,C觀察,2.45,>MA5,糾結,67.6,52.7,20.7,21.7,9.7167,-,-,tracking,signal_tracking_20260730.csv,7.0,-13.35,4.8,,4.8,-18.85,15.81,-18.85,0.0,-9.95,,15.81,-18.85,,
2026-07-28,5521.TW,工信,10.3,MACD翻正、趨勢突破,96.0,A強勢追蹤,0.74,>MA5,糾結,49.2,38.6,28.9,25.8,0.0026,趨勢突破,0.72,tracking,signal_tracking_20260730.csv,7.0,-6.41,-0.49,,0.97,-7.77,0.97,-7.77,0.0,-5.05,,0.97,-7.77,,
2026-07-28,5876.TW,上海商銀,46.53,跳空、黃金交叉,81.0,A強勢追蹤,2.57,>MA5,多頭,81.7,78.2,91.3,84.1,0.1955,-,-,tracking,signal_tracking_20260730.csv,7.0,-2.32,-5.11,,-1.78,-6.3,-1.78,-7.26,0.0,-4.69,,-1.78,-7.26,,
2026-07-28,8050.TWO,廣積,61.3,週黃金交叉,96.0,A強勢追蹤,5.86,>MA5,多頭,61.6,56.0,62.7,60.9,0.1328,-,-,tracking,signal_tracking_20260730.csv,7.0,-10.93,-3.75,,3.59,-14.36,9.95,-14.36,0.0,-0.82,,9.95,-14.36,,
2026-07-28,8271.TW,宇瞻,205.0,週黃金交叉,78.0,A強勢追蹤,2.68,MA5~10,多頭,74.6,71.6,34.3,34.0,4.3379,-,-,tracking,signal_tracking_20260730.csv,7.0,8.78,9.27,,11.71,-2.2,21.71,-2.2,1.0,8.54,,21.71,-2.2,,
2026-07-28,9907.TW,統一實,15.2,黃金交叉、週即將黃金交叉、趨勢突破,83.0,A強勢追蹤,-0.12,>MA5,空頭,51.4,48.9,14.3,15.2,0.0413,趨勢突破,1.11,tracking,signal_tracking_20260730.csv,7.0,-1.32,-2.96,,1.97,-3.29,1.97,-5.59,0.0,0.33,,1.97,-5.59,,
2026-07-29,1104.TW,環泥,26.85,趨勢突破,86.0,A強勢追蹤,0.34,>MA5,糾結,44.1,34.3,17.6,24.4,0.044,趨勢突破,2.02,tracking,signal_tracking_20260731.csv,6.0,0.19,-1.68,,2.61,-1.86,2.61,-1.86,0.0,1.3,,2.61,-1.86,,
2026-07-29,1218.TW,泰山,16.0,跳空、黃金交叉、MACD翻正、趨勢突破,66.0,B可追蹤,-2.15,>MA5,空頭,23.0,21.8,9.5,12.8,0.007,趨勢突破,1.51,tracking,signal_tracking_20260731.csv,6.0,-1.88,-3.12,,1.87,-5.0,1.87,-5.0,0.0,1.56,,1.87,-5.0,,
2026-07-29,1476.TW,儒鴻,338.5,週黃金交叉,66.0,B可追蹤,1.79,>MA5,糾結,54.7,53.5,45.5,43.5,0.5498,-,-,tracking,signal_tracking_20260731.csv,6.0,2.36,4.87,,5.91,-1.18,8.71,-1.18,1.0,3.99,,8.71,-1.18,,
2026-07-29,1526.TW,日馳,18.9,漲幅達標、黃金交叉,84.0,A強勢追蹤,9.32,>MA5,多頭,71.8,66.7,63.3,44.6,0.3042,-,-,tracking,signal_tracking_20260731.csv,6.0,-3.17,-7.67,,9.52,-8.73,9.52,-8.73,0.0,-1.85,,9.52,-8.73,,
2026-07-29,1598.TW,岱宇,20.75,跳空、即將黃金交叉、週黃金交叉、趨勢突破,100.0,A強勢追蹤,2.82,>MA5,糾結,57.8,58.3,40.9,33.4,0.1127,趨勢突破,25.58,tracking,signal_tracking_20260731.csv,6.0,-2.89,-2.89,,1.69,-5.3,1.69,-5.3,0.0,-4.58,,1.69,-5.3,,
2026-07-29,1907.TW,永豐餘,28.45,黃金交叉,69.0,B可追蹤,1.27,>MA5,多頭,43.1,39.7,74.9,70.5,-0.0625,-,-,tracking,signal_tracking_20260731.csv,6.0,2.46,4.57,,4.92,-0.53,7.21,-0.53,0.0,1.93,,7.21,-0.53,,
2026-07-29,2002.TW,中鋼,18.95,週黃金交叉,63.0,C觀察,0.43,MA5~10,多頭,59.8,63.0,32.2,30.1,0.0504,-,-,tracking,signal_tracking_20260731.csv,6.0,-0.53,-0.26,,1.58,-1.58,1.58,-1.58,0.0,0.0,,1.58,-1.58,,
2026-07-29,2025.TW,千興,12.45,趨勢突破,87.0,A強勢追蹤,0.54,>MA5,糾結,65.3,49.0,25.0,34.3,0.0617,趨勢突破,2.86,tracking,signal_tracking_20260731.csv,6.0,-4.42,-4.42,,2.81,-5.62,2.81,-5.62,0.0,-3.61,,2.81,-5.62,,
2026-07-29,2027.TW,大成鋼,43.25,週黃金交叉,68.0,B可追蹤,0.64,MA5~10,多頭,63.7,69.2,59.7,56.7,0.2992,-,-,tracking,signal_tracking_20260731.csv,6.0,2.77,2.54,,3.58,-2.31,8.55,-2.31,0.0,1.04,,8.55,-2.31,,
2026-07-29,2106.TW,建大,18.4,黃金交叉,73.0,B可追蹤,2.31,>MA5,糾結,54.7,49.6,64.6,53.9,0.0445,-,-,tracking,signal_tracking_20260730.csv,6.0,-1.09,-1.63,,3.8,-3.26,3.8,-3.26,0.0,-0.54,,3.8,-3.26,,
2026-07-29,2332.TW,友訊,24.0,週即將黃金交叉,78.0,A強勢追蹤,7.0,>MA5,多頭,66.4,57.6,73.2,74.8,-0.0541,-,-,tracking,signal_tracking_20260731.csv,6.0,-7.5,-4.58,,3.96,-13.96,3.96,-13.96,0.0,-10.0,,3.96,-13.96,,
2026-07-29,2357.TW,華碩,761.0,即將黃金交叉,65.0,B可追蹤,3.12,>MA5,多頭,74.4,75.6,36.5,41.9,7.5305,-,-,tracking,signal_tracking_20260731.csv,6.0,4.99,10.12,,12.88,-5.12,12.88,-5.12,0.0,-3.15,,12.88,-5.12,,
2026-07-29,2412.TW,中華電,140.5,週黃金交叉,68.0,B可追蹤,0.19,>MA5,多頭,82.4,77.8,47.7,47.7,0.5796,-,-,tracking,signal_tracking_20260731.csv,6.0,-1.07,-2.49,,0.36,-3.2,0.36,-3.2,0.0,0.0,,0.36,-3.2,,
2026-07-29,2530.TW,華建,20.65,趨勢突破,100.0,A強勢追蹤,1.9,>MA5,多頭,70.6,64.6,64.9,50.1,0.1208,趨勢突破,2.88,tracking,signal_tracking_20260731.csv,6.0,-4.84,-5.08,,4.12,-8.23,4.12,-8.23,0.0,2.18,,4.12,-8.23,,
2026-07-29,2540.TW,愛山林,57.8,週黃金交叉,92.0,A強勢追蹤,2.99,>MA5,多頭,69.3,58.9,55.3,45.7,0.3661,-,-,tracking,signal_tracking_20260731.csv,6.0,3.81,-0.0,,6.92,-4.84,6.92,-5.36,0.0,1.9,,6.92,-5.36,,
2026-07-29,2615.TW,萬海,85.0,即將黃金交叉,58.0,C觀察,1.65,>MA5,多頭,63.1,64.7,67.0,61.8,0.4421,-,-,tracking,signal_tracking_20260731.csv,6.0,1.29,0.47,,2.35,-1.29,2.35,-1.29,0.0,-0.71,,2.35,-1.29,,
2026-07-29,2849.TW,安泰銀,15.35,黃金交叉、週黃金交叉、MACD翻正,100.0,A強勢追蹤,2.42,>MA5,糾結,68.3,60.3,87.6,86.6,0.0163,-,-,tracking,signal_tracking_20260731.csv,6.0,-0.33,-4.56,,0.65,-4.56,0.65,-6.51,0.0,-0.33,,0.65,-6.51,,
2026-07-29,2867.TW,三商壽,9.37,即將黃金交叉,60.0,C觀察,2.82,>MA5,多頭,64.0,66.9,84.2,78.0,0.0121,-,-,tracking,signal_tracking_20260731.csv,6.0,4.8,4.27,,7.26,-0.75,7.26,-0.75,1.0,2.24,,7.26,-0.75,,
2026-07-29,2880.TW,華南金,41.8,即將黃金交叉,60.0,C觀察,2.98,>MA5,多頭,83.7,85.8,89.9,80.3,0.069,-,-,tracking,signal_tracking_20260731.csv,6.0,2.99,4.78,,8.01,-1.56,8.01,-1.56,1.0,2.03,,8.01,-1.56,,
2026-07-29,2884.TW,玉山金,36.5,黃金交叉,82.0,A強勢追蹤,2.38,>MA5,多頭,69.6,68.9,77.5,68.6,0.0868,-,-,tracking,signal_tracking_20260731.csv,6.0,5.34,4.38,,7.12,-0.41,7.12,-0.41,1.0,3.29,,7.12,-0.41,,
2026-07-29,2903.TW,遠百,22.35,趨勢突破,89.0,A強勢追蹤,0.73,>MA5,糾結,63.7,61.5,29.9,35.7,0.0306,趨勢突破,1.82,tracking,signal_tracking_20260731.csv,6.0,0.0,-1.57,,1.57,-2.01,1.57,-2.24,0.0,0.89,,1.57,-2.24,,
2026-07-29,2912.TW,統一超,241.0,黃金交叉,59.0,C觀察,1.7,>MA5,糾結,47.6,46.5,72.8,64.9,-0.7201,-,-,tracking,signal_tracking_20260731.csv,6.0,-8.51,-8.09,,-2.49,-9.54,-2.49,-9.54,0.0,-4.56,,-2.49,-9.54,,
2026-07-29,3231.TW,緯創,169.5,週即將黃金交叉,71.0,B可追蹤,2.12,MA5~10,多頭,73.1,70.4,43.3,43.4,2.9951,-,-,tracking,signal_tracking_20260731.csv,6.0,9.73,13.86,,19.47,-7.08,19.47,-7.08,0.0,-5.6,,19.47,-7.08,,
2026-07-29,3260.TWO,威剛,394.0,週即將黃金交叉、MACD翻正,71.0,B可追蹤,0.61,>MA5,糾結,65.5,55.9,31.1,31.1,0.6067,-,-,tracking,signal_tracking_20260731.csv,6.0,-0.63,0.51,,4.95,-4.57,8.25,-4.57,0.0,-3.93,,8.25,-4.57,,
2026-07-29,3441.TWO,聯一光,77.2,漲幅達標、MACD翻正,62.0,C觀察,4.11,>MA5,糾結,63.1,39.7,55.4,63.9,0.0032,-,-,tracking,signal_tracking_20260730.csv,6.0,19.69,10.62,,24.09,-1.04,24.09,-1.04,1.0,-1.04,,24.09,-1.04,,
2026-07-29,4904.TW,遠傳,106.5,週黃金交叉,68.0,B可追蹤,1.43,>MA5,多頭,80.2,76.9,58.8,56.7,0.8373,-,-,tracking,signal_tracking_20260731.csv,6.0,-2.82,-5.16,,0.0,-6.2,0.0,-6.2,0.0,-0.94,,0.0,-6.2,,
2026-07-29,4976.TW,佳凌,37.7,漲幅達標、MACD翻正、趨勢突破,100.0,A強勢追蹤,4.62,>MA5,糾結,56.5,32.2,39.9,48.6,0.031,趨勢突破,3.94,tracking,signal_tracking_20260731.csv,6.0,0.8,-3.18,,8.75,-9.95,8.75,-9.95,0.0,-9.95,,8.75,-9.95,,
2026-07-29,5490.TWO,同亨,33.15,週黃金交叉,88.0,A強勢追蹤,2.7,>MA5,多頭,67.1,64.3,61.2,56.6,0.2506,-,-,tracking,signal_tracking_20260731.csv,6.0,6.79,-3.47,,9.65,-9.5,9.65,-9.5,0.0,-5.73,,9.65,-9.5,,
2026-07-29,5531.TW,鄉林,7.9,週即將黃金交叉、MACD翻正、趨勢突破,100.0,A強勢追蹤,0.47,>MA5,空頭,49.8,39.9,24.1,26.5,0.0029,趨勢突破,2.97,tracking,signal_tracking_20260731.csv,6.0,-0.63,-1.52,,1.01,-2.53,1.01,-3.29,0.0,-1.9,,1.01,-3.29,,
2026-07-29,5904.TWO,寶雅,720.0,週即將黃金交叉、MACD翻正,78.0,A強勢追蹤,4.19,>MA5,糾結,66.8,50.8,65.8,68.5,1.7477,-,-,tracking,signal_tracking_20260731.csv,5.0,-90.0,-90.0,,-90.0,-90.0,-90.0,-90.0,0.0,-90.0,,-90.0,-90.0,,
2026-07-29,6603.TWO,富強鑫,26.2,MACD翻正、趨勢突破,100.0,A強勢追蹤,2.52,>MA5,糾結,75.5,59.0,62.0,53.4,0.0633,趨勢突破,2.87,tracking,signal_tracking_20260731.csv,6.0,0.38,2.1,,3.82,-6.11,3.82,-6.11,0.0,-5.34,,3.82,-6.11,,
2026-07-29,8050.TWO,廣積,60.8,黃金交叉、週黃金交叉,93.0,A強勢追蹤,3.12,>MA5,多頭,59.6,57.1,61.5,60.4,-0.0544,-,-,tracking,signal_tracking_20260731.csv,6.0,-4.61,6.74,,6.74,-13.65,10.86,-13.65,0.0,-9.87,,10.86,-13.65,,
2026-07-29,8114.TW,振樺電,209.5,週即將黃金交叉,55.0,C觀察,2.17,MA5~10,多頭,54.1,57.0,34.0,34.3,2.3451,-,-,tracking,signal_tracking_20260731.csv,6.0,2.63,9.79,,12.89,-9.79,12.89,-9.79,0.0,-8.59,,12.89,-9.79,,
2026-07-29,8271.TW,宇瞻,222.5,漲幅達標、週黃金交叉、趨勢突破,100.0,A強勢追蹤,7.11,>MA5,多頭,81.0,74.7,40.2,35.9,4.8673,趨勢突破,2.69,tracking,signal_tracking_20260731.csv,6.0,-1.35,2.02,,6.97,-9.89,12.13,-9.89,0.0,-8.31,,12.13,-9.89,,
2026-07-29,9917.TW,中保科,111.0,趨勢突破,89.0,A強勢追蹤,1.78,>MA5,多頭,78.3,71.1,28.7,31.8,0.6823,趨勢突破,2.61,tracking,signal_tracking_20260731.csv,6.0,-1.35,-2.7,,1.35,-3.15,1.35,-3.15,0.0,0.0,,1.35,-3.15,,
2026-07-29,9939.TW,宏全,130.0,週即將黃金交叉,66.0,B可追蹤,0.13,>MA5,多頭,59.9,66.5,63.5,64.6,0.3505,-,-,tracking,signal_tracking_20260731.csv,6.0,-1.15,3.08,,3.08,-2.31,11.15,-2.31,0.0,-0.77,,11.15,-2.31,,
2026-07-29,9940.TW,信義,20.8,黃金交叉,71.0,B可追蹤,2.11,>MA5,多頭,76.8,70.0,70.1,57.9,0.057,-,-,tracking,signal_tracking_20260731.csv,6.0,-0.72,-1.92,,0.96,-2.88,0.96,-2.88,0.0,0.24,,0.96,-2.88,,
2026-07-30,1104.TW,環泥,26.85,趨勢突破,86.0,A強勢追蹤,0.34,>MA5,糾結,44.1,34.3,17.6,24.4,0.044,趨勢突破,2.0,tracking,signal_tracking_20260731.csv,5.0,-1.49,-1.49,,2.61,-1.86,2.61,-1.86,0.0,-0.19,,2.61,-1.86,,
2026-07-30,1218.TW,泰山,16.0,跳空、黃金交叉、MACD翻正、趨勢突破,66.0,B可追蹤,-2.15,>MA5,空頭,23.0,21.8,9.5,12.8,0.007,趨勢突破,1.5,tracking,signal_tracking_20260731.csv,5.0,-4.69,-2.81,,1.56,-5.0,1.56,-5.0,0.0,-0.31,,1.56,-5.0,,
2026-07-30,1227.TW,佳格,29.8,黃金交叉,59.0,C觀察,0.38,>MA5,空頭,50.9,45.4,63.3,57.7,-0.089,-,-,tracking,signal_tracking_20260731.csv,5.0,-3.69,-3.19,,1.34,-4.36,1.34,-4.36,0.0,-1.85,,1.34,-4.36,,
2026-07-30,1476.TW,儒鴻,338.5,週黃金交叉,66.0,B可追蹤,1.79,>MA5,糾結,54.7,53.5,45.5,43.5,0.5498,-,-,tracking,signal_tracking_20260731.csv,5.0,4.73,7.68,,8.71,0.74,8.71,0.74,1.0,2.22,,8.71,0.74,,
2026-07-30,1477.TW,聚陽,222.0,MACD翻正,62.0,C觀察,0.72,>MA5,糾結,60.5,42.0,42.7,46.4,0.0257,-,-,tracking,signal_tracking_20260731.csv,5.0,0.0,1.8,,3.38,-4.28,3.38,-4.28,0.0,-1.13,,3.38,-4.28,,
2026-07-30,1526.TW,日馳,18.9,漲幅達標、黃金交叉,84.0,A強勢追蹤,9.32,>MA5,多頭,71.8,66.7,63.3,44.6,0.3042,-,-,tracking,signal_tracking_20260731.csv,5.0,-5.82,1.32,,3.44,-8.73,3.44,-8.73,0.0,-3.97,,3.44,-8.73,,
2026-07-30,1598.TW,岱宇,20.75,跳空、即將黃金交叉、週黃金交叉、趨勢突破,100.0,A強勢追蹤,2.82,>MA5,糾結,57.8,58.3,40.9,33.4,0.1127,趨勢突破,25.46,tracking,signal_tracking_20260731.csv,5.0,-1.45,-3.61,,-0.24,-5.3,-0.24,-5.3,0.0,-3.13,,-0.24,-5.3,,
2026-07-30,1808.TW,潤隆,32.45,即將黃金交叉,59.0,C觀察,2.1,>MA5,糾結,63.2,64.4,74.2,66.2,0.0378,-,-,tracking,signal_tracking_20260731.csv,5.0,0.0,-1.85,,4.31,-2.47,4.31,-2.47,0.0,1.69,,4.31,-2.47,,
2026-07-30,1907.TW,永豐餘,28.45,黃金交叉,69.0,B可追蹤,1.27,>MA5,多頭,43.1,39.7,74.9,70.5,-0.0625,-,-,tracking,signal_tracking_20260731.csv,5.0,3.69,6.68,,7.21,0.18,7.21,0.18,1.0,2.11,,7.21,0.18,,
2026-07-30,2002.TW,中鋼,18.95,週黃金交叉,63.0,C觀察,0.43,MA5~10,多頭,59.8,63.0,32.2,30.1,0.0504,-,-,tracking,signal_tracking_20260731.csv,5.0,-0.53,0.26,,1.58,-1.58,1.58,-1.58,0.0,0.0,,1.58,-1.58,,
2026-07-30,2025.TW,千興,12.45,趨勢突破,87.0,A強勢追蹤,0.54,>MA5,糾結,65.3,49.0,25.0,34.3,0.0617,趨勢突破,2.84,tracking,signal_tracking_20260731.csv,5.0,-3.21,-3.21,,-0.8,-5.62,-0.8,-5.62,0.0,-2.41,,-0.8,-5.62,,
2026-07-30,2027.TW,大成鋼,43.25,週黃金交叉,68.0,B可追蹤,0.64,MA5~10,多頭,63.7,69.2,59.7,56.7,0.2992,-,-,tracking,signal_tracking_20260731.csv,5.0,2.31,6.59,,8.55,-2.31,8.55,-2.31,1.0,-0.12,,8.55,-2.31,,
2026-07-30,2332.TW,友訊,24.0,週即將黃金交叉,78.0,A強勢追蹤,7.0,>MA5,多頭,66.4,57.6,73.2,74.8,-0.0541,-,-,tracking,signal_tracking_20260731.csv,5.0,-0.62,-5.42,,3.96,-13.96,3.96,-13.96,0.0,-11.46,,3.96,-13.96,,
2026-07-30,2357.TW,華碩,761.0,即將黃金交叉,65.0,B可追蹤,3.12,>MA5,多頭,74.4,75.6,36.5,41.9,7.5305,-,-,tracking,signal_tracking_20260731.csv,5.0,5.91,7.49,,12.88,0.79,12.88,0.79,1.0,6.44,,12.88,0.79,,
2026-07-30,2385.TW,群光,104.5,黃金交叉、趨勢突破,66.0,B可追蹤,-0.47,>MA5,空頭,46.0,44.9,13.7,22.6,0.6646,趨勢突破,1.18,tracking,signal_tracking_20260731.csv,5.0,-0.48,-0.96,,3.35,-2.87,3.35,-2.87,0.0,1.44,,3.35,-2.87,,
2026-07-30,2412.TW,中華電,140.5,週黃金交叉,68.0,B可追蹤,0.19,>MA5,多頭,82.4,77.8,47.7,47.7,0.5796,-,-,tracking,signal_tracking_20260731.csv,5.0,-2.85,-2.49,,0.0,-3.2,0.0,-3.2,0.0,-0.71,,0.0,-3.2,,
2026-07-30,2504.TW,國產,31.8,黃金交叉、週即將黃金交叉、趨勢突破,94.0,A強勢追蹤,-0.17,>MA5,糾結,58.6,54.4,19.6,20.9,0.1428,趨勢突破,0.94,tracking,signal_tracking_20260731.csv,5.0,-3.3,-4.4,,1.26,-5.03,1.26,-5.03,0.0,-1.89,,1.26,-5.03,,
2026-07-30,2520.TW,冠德,35.1,黃金交叉,70.0,B可追蹤,0.3,>MA5,糾結,40.9,40.2,71.2,70.1,-0.1767,-,-,tracking,signal_tracking_20260731.csv,5.0,-2.85,-2.85,,1.71,-3.42,1.71,-3.42,0.0,-1.28,,1.71,-3.42,,
2026-07-30,2530.TW,華建,20.65,趨勢突破,100.0,A強勢追蹤,1.9,>MA5,多頭,70.6,64.6,64.9,50.1,0.1208,趨勢突破,2.87,tracking,signal_tracking_20260731.csv,5.0,-6.78,-6.78,,4.12,-8.23,4.12,-8.23,0.0,-3.63,,4.12,-8.23,,
2026-07-30,2540.TW,愛山林,57.8,週黃金交叉,92.0,A強勢追蹤,2.99,>MA5,多頭,69.3,58.9,55.3,45.7,0.3661,-,-,tracking,signal_tracking_20260731.csv,5.0,-3.46,-5.36,,6.92,-5.36,6.92,-5.36,0.0,5.54,,6.92,-5.36,,
2026-07-30,2548.TW,華固,99.1,黃金交叉、趨勢突破,100.0,A強勢追蹤,0.31,>MA5,多頭,75.5,74.5,16.0,12.9,0.5765,趨勢突破,0.75,tracking,signal_tracking_20260731.csv,5.0,-1.61,-3.83,,0.61,-4.64,0.61,-4.64,0.0,-1.72,,0.61,-4.64,,
2026-07-30,2610.TW,華航,21.7,MACD翻正,61.0,C觀察,0.11,>MA5,糾結,61.2,52.3,49.8,60.4,0.0076,-,-,tracking,signal_tracking_20260731.csv,5.0,3.46,2.07,,5.3,0.92,5.3,0.92,1.0,3.23,,5.3,0.92,,
2026-07-30,2615.TW,萬海,85.0,即將黃金交叉,58.0,C觀察,1.65,>MA5,多頭,63.1,64.7,67.0,61.8,0.4421,-,-,tracking,signal_tracking_20260731.csv,5.0,1.29,-0.82,,2.35,-1.18,2.35,-1.18,0.0,-0.35,,2.35,-1.18,,
2026-07-30,2633.TW,台灣高鐵,26.3,黃金交叉,69.0,B可追蹤,0.2,>MA5,糾結,65.7,57.0,64.9,59.5,-0.0077,-,-,tracking,signal_tracking_20260731.csv,5.0,-2.09,-1.9,,1.14,-2.47,1.14,-2.47,0.0,-0.95,,1.14,-2.47,,
2026-07-30,2801.TW,彰銀,24.75,黃金交叉,57.0,C觀察,1.59,>MA5,多頭,81.0,77.7,91.0,82.6,-0.0118,-,-,tracking,signal_tracking_20260731.csv,5.0,-0.67,-6.46,,1.5,-6.46,1.5,-6.46,0.0,-0.67,,1.5,-6.46,,
2026-07-30,2845.TW,遠東銀,13.4,黃金交叉,64.0,C觀察,0.93,>MA5,多頭,53.7,50.0,83.1,73.8,-0.0278,-,-,tracking,signal_tracking_20260731.csv,5.0,-0.75,-1.87,,1.87,-1.87,1.87,-1.87,0.0,0.75,,1.87,-1.87,,
2026-07-30,2849.TW,安泰銀,15.35,黃金交叉、週黃金交叉、MACD翻正,100.0,A強勢追蹤,2.42,>MA5,糾結,68.3,60.3,87.6,86.6,0.0163,-,-,tracking,signal_tracking_20260731.csv,5.0,-4.56,-6.19,,0.65,-6.51,0.65,-6.51,0.0,0.33,,0.65,-6.51,,
2026-07-30,2867.TW,三商壽,9.37,即將黃金交叉,60.0,C觀察,2.82,>MA5,多頭,64.0,66.9,84.2,78.0,0.0121,-,-,tracking,signal_tracking_20260731.csv,5.0,4.16,4.27,,7.26,2.99,7.26,2.99,1.0,5.66,,7.26,2.99,,
