scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d
2026-07-30,2892.TW,第一金,35.45,MACD翻正,71,B可追蹤,2.78,>MA5,多頭,84.4,80.8,92.4,84.0,0.0094,-,-,tracking,1.0,,,,4.09,-0.14,4.09,-0.14,0.0
2026-07-30,3543.TW,州巧,30.05,漲幅達標、週黃金交叉、MACD翻正,64,C觀察,2.9,>MA5,空頭,41.4,22.5,19.3,15.4,0.0151,-,-,tracking,1.0,,,,9.98,0.83,9.98,0.83,0.0
2026-07-30,9907.TW,統一實,15.35,週黃金交叉,70,B可追蹤,0.53,>MA5,糾結,68.4,57.3,16.9,16.0,0.0564,-,-,tracking,1.0,,,,0.98,-2.28,0.98,-2.28,0.0
2026-07-30,9945.TW,潤泰新,26.8,黃金交叉、趨勢突破,99,A強勢追蹤,0.56,>MA5,糾結,53.1,49.3,69.3,65.3,-0.0201,趨勢突破,1.62,tracking,1.0,,,,2.61,0.56,2.61,0.56,0.0
2026-07-30,6620.TWO,漢達,96.3,漲幅達標、跳空、週黃金交叉,62,C觀察,2.55,>MA5,糾結,58.8,39.8,60.0,58.6,-0.3748,-,-,tracking,1.0,,,,3.43,-8.93,3.43,-8.93,0.0
2026-07-30,8421.TWO,旭源,15.55,跳空、黃金交叉,64,C觀察,4.44,>MA5,糾結,45.4,36.6,50.7,45.1,-0.0868,-,-,tracking,1.0,,,,4.18,-2.25,4.18,-2.25,0.0
2026-07-30,1808.TW,潤隆,32.45,即將黃金交叉,59,C觀察,2.1,>MA5,糾結,63.2,64.4,74.2,66.2,0.0378,-,-,tracking,1.0,,,,4.31,0.46,4.31,0.46,0.0
2026-07-30,2385.TW,群光,104.5,黃金交叉、趨勢突破,66,B可追蹤,-0.47,>MA5,空頭,46.0,44.9,13.7,22.6,0.6646,趨勢突破,1.18,tracking,1.0,,,,3.35,0.0,3.35,0.0,0.0
2026-07-30,2520.TW,冠德,35.1,黃金交叉,70,B可追蹤,0.3,>MA5,糾結,40.9,40.2,71.2,70.1,-0.1767,-,-,tracking,1.0,,,,1.71,-1.71,1.71,-1.71,0.0
2026-07-30,2548.TW,華固,99.1,黃金交叉、趨勢突破,100,A強勢追蹤,0.31,>MA5,多頭,75.5,74.5,16.0,12.9,0.5765,趨勢突破,0.75,tracking,1.0,,,,0.61,-1.72,0.61,-1.72,0.0
2026-07-30,2610.TW,華航,21.7,MACD翻正,61,C觀察,0.11,>MA5,糾結,61.2,52.3,49.8,60.4,0.0076,-,-,tracking,1.0,,,,4.38,1.15,4.38,1.15,0.0
2026-07-30,2633.TW,台灣高鐵,26.3,黃金交叉,69,B可追蹤,0.2,>MA5,糾結,65.7,57.0,64.9,59.5,-0.0077,-,-,tracking,1.0,,,,1.14,-0.95,1.14,-0.95,0.0
2026-07-30,2889.TW,國票金,15.65,黃金交叉,74,B可追蹤,1.16,>MA5,糾結,47.3,44.6,72.3,67.0,-0.0437,-,-,tracking,1.0,,,,0.96,-0.32,0.96,-0.32,0.0
2026-07-30,6919.TW,康霈*,103.0,黃金交叉、週即將黃金交叉,59,C觀察,2.08,>MA5,空頭,28.9,25.6,45.0,45.1,-0.6297,-,-,tracking,1.0,,,,1.94,-0.97,1.94,-0.97,0.0
2026-07-30,1227.TW,佳格,29.8,黃金交叉,59,C觀察,0.38,>MA5,空頭,50.9,45.4,63.3,57.7,-0.089,-,-,tracking,1.0,,,,1.34,-1.85,1.34,-1.85,0.0
2026-07-31,1476.TW,儒鴻,352.0,趨勢突破,100,A強勢追蹤,3.61,>MA5,多頭,65.6,57.7,52.6,43.5,1.4149,趨勢突破,3.48,tracking,,,,,,,,,
2026-07-31,1712.TW,興農,39.75,黃金交叉、MACD翻正,78,A強勢追蹤,0.34,>MA5,空頭,50.1,44.0,43.7,33.6,0.0169,-,-,tracking,,,,,,,,,
2026-07-31,1909.TW,榮成,10.05,黃金交叉、趨勢突破,77,A強勢追蹤,1.09,>MA5,空頭,33.9,32.7,57.1,58.4,-0.0559,趨勢突破,0.86,tracking,,,,,,,,,
2026-07-31,2027.TW,大成鋼,43.7,即將黃金交叉、週黃金交叉,87,A強勢追蹤,0.79,>MA5,多頭,64.8,67.8,61.9,57.7,0.2757,-,-,tracking,,,,,,,,,
2026-07-31,2206.TW,三陽工業,64.7,週即將黃金交叉,60,C觀察,2.66,>MA5,糾結,69.2,56.7,78.6,79.8,-0.0015,-,-,tracking,,,,,,,,,
2026-07-31,2385.TW,群光,104.5,黃金交叉、趨勢突破,66,B可追蹤,-0.75,>MA5,空頭,45.8,44.6,13.3,20.6,0.7021,趨勢突破,1.16,tracking,,,,,,,,,
2026-07-31,2412.TW,中華電,140.5,週即將黃金交叉,56,C觀察,0.23,>MA5,多頭,75.8,76.3,48.2,49.7,0.5036,-,-,tracking,,,,,,,,,
2026-07-31,2504.TW,國產,31.85,黃金交叉、週即將黃金交叉、趨勢突破,100,A強勢追蹤,-0.59,>MA5,糾結,59.6,54.0,19.6,19.8,0.1464,趨勢突破,1.0,tracking,,,,,,,,,
2026-07-31,2520.TW,冠德,35.1,黃金交叉,70,B可追蹤,0.48,>MA5,糾結,41.1,40.7,71.2,69.7,-0.1788,-,-,tracking,,,,,,,,,
